Car_Name,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Vitz,2011,73.32,13331,Petrol,Dealer,Manual,0,39.75
Mehran,2021,80.09,147853,CNG,Individual,Manual,0,67.5
Prius,2022,24.2,115785,Hybrid,Individual,Automatic,0,19.46
Corolla,2016,17.03,95165,Petrol,Individual,Manual,1,8.82
Cultus,2011,68.93,169794,Petrol,Individual,Manual,1,46.41
Alto,2011,103.51,31476,Petrol,Individual,Automatic,0,44.02
City,2013,82.4,174878,Petrol,Dealer,Manual,0,53.68
Alto,2024,78.96,151001,Petrol,Dealer,Automatic,2,73.63
Swift,2022,41.96,75186,Petrol,Dealer,Manual,2,35.33
Mehran,2020,62.91,173519,CNG,Individual,Manual,0,51.38
Alto,2021,72.64,157969,Petrol,Individual,Automatic,0,56.78
Corolla,2022,11.37,33743,Petrol,Dealer,Manual,1,9.81
Cultus,2019,119.56,143704,Petrol,Individual,Manual,1,98.96
Prius,2014,93.62,94174,Hybrid,Dealer,Automatic,0,58.63
Tucson,2021,36.03,136225,Petrol,Dealer,Manual,2,28.62
WagonR,2013,23.42,47349,Petrol,Dealer,Automatic,0,16.35
Sportage,2022,41.06,20184,Petrol,Dealer,Manual,0,36.96
Prius,2018,93.31,38657,Hybrid,Individual,Manual,0,65.4
Mehran,2024,67.48,57730,CNG,Individual,Automatic,3,63.21
Vitz,2017,19.79,63903,Petrol,Dealer,Automatic,0,13.17
Swift,2011,86.69,20433,Petrol,Dealer,Manual,2,35.6
Mehran,2014,82.26,61160,CNG,Dealer,Automatic,0,52.54
Corolla,2011,81.12,97876,Petrol,Individual,Automatic,0,35.57
Yaris,2011,12.91,93946,Petrol,Dealer,Manual,0,6.07
Civic,2014,58.74,24761,Petrol,Individual,Manual,0,29.03
Corolla,2024,91.91,66965,Petrol,Dealer,Automatic,0,88.57
Swift,2012,49.2,107346,Petrol,Individual,Automatic,0,22.77
Prius,2018,81.45,132577,Hybrid,Dealer,Manual,0,53.66
Vitz,2010,91.27,19985,Petrol,Dealer,Automatic,0,34.53
Vitz,2011,103.05,22962,Petrol,Dealer,Manual,0,39.79
WagonR,2019,10.53,26491,Petrol,Individual,Automatic,2,7.74
Mehran,2014,51.12,174214,CNG,Individual,Automatic,0,28.12
Fortuner,2019,119.82,31209,Diesel,Dealer,Manual,0,102.63
Corolla,2024,33.85,79707,Petrol,Dealer,Automatic,2,30.36
Prius,2020,66.3,150385,Hybrid,Individual,Manual,2,56.77
Corolla,2021,69.07,76394,Petrol,Individual,Manual,1,60.24
Alto,2018,61.69,18316,Petrol,Dealer,Automatic,2,51.73
Civic,2020,117.7,47357,Petrol,Individual,Automatic,1,102.63
Hilux,2024,22.99,14444,Diesel,Individual,Manual,0,22.3
Tucson,2022,116.83,15458,Petrol,Individual,Manual,1,103.46
Vitz,2024,105.72,167702,Petrol,Dealer,Manual,2,96.19
Tucson,2016,8.83,92080,Petrol,Individual,Manual,0,4.97
Sportage,2010,103.88,63309,Petrol,Dealer,Automatic,0,39.06
Mehran,2010,81.24,109455,CNG,Individual,Automatic,2,25.5
Yaris,2018,51.56,145565,Petrol,Individual,Manual,0,34.21
Alto,2010,18.36,118918,Petrol,Individual,Automatic,0,5.14
Tucson,2019,27.67,16635,Petrol,Individual,Manual,0,20.63
Hilux,2021,82.45,100478,Diesel,Individual,Manual,2,65.59
Yaris,2023,20.21,83727,Petrol,Individual,Automatic,0,17.12
Mehran,2016,81.8,104390,CNG,Dealer,Automatic,0,50.42
Mehran,2016,95.58,164032,CNG,Individual,Automatic,0,60.93
Prius,2024,115.42,49483,Hybrid,Dealer,Automatic,0,110.62
Sportage,2022,32.78,86374,Petrol,Dealer,Manual,0,28.14
WagonR,2023,93.61,124384,Petrol,Individual,Manual,1,85.9
Civic,2020,84.39,32941,Petrol,Individual,Manual,0,65.25
Swift,2018,34.41,36813,Petrol,Individual,Manual,2,23.88
WagonR,2015,114.3,121017,Petrol,Individual,Automatic,2,67.55
Alto,2022,34.19,172159,Petrol,Individual,Automatic,1,29.94
Alto,2013,36.98,88809,Petrol,Dealer,Manual,0,23.07
Mehran,2011,53.29,91738,CNG,Individual,Automatic,0,21.48
Prius,2019,113.85,10120,Hybrid,Individual,Automatic,0,93.94
Sportage,2024,114.69,114843,Petrol,Dealer,Automatic,0,110.49
City,2020,83.42,110989,Petrol,Dealer,Automatic,2,62.21
Tucson,2016,73.48,178801,Petrol,Dealer,Manual,1,54.75
Swift,2014,49.22,60485,Petrol,Individual,Automatic,0,25.76
Sportage,2016,34.76,26471,Petrol,Individual,Manual,1,27.03
Mehran,2020,13.82,175853,CNG,Dealer,Manual,2,10.52
Civic,2013,20.39,34986,Petrol,Dealer,Automatic,1,10.18
WagonR,2021,87.89,47930,Petrol,Individual,Manual,1,71.47
Tucson,2016,51.22,56990,Petrol,Dealer,Manual,0,31.6
WagonR,2022,19.8,153355,Petrol,Dealer,Automatic,0,16.6
Yaris,2015,7.44,115115,Petrol,Individual,Manual,0,2.14
Fortuner,2021,23.44,51173,Diesel,Individual,Automatic,0,18.62
City,2023,33.99,27718,Petrol,Individual,Automatic,0,31.28
Cultus,2015,9.27,90200,Petrol,Dealer,Automatic,0,4.35
Tucson,2019,85.93,77422,Petrol,Dealer,Manual,0,65
